method,selected_lower_quantile,selected_upper_quantile,selected_interval_pair,cal_wPICP_80,cal_PICP_80,cal_wMPIW_80,cal_MPIW_80,cal_wNMPIW_80,cal_NMPIW_80,cal_Winkler_80,RMSE,MAE,R2,Skill,wPICP_80,PICP_80,wMPIW_80,MPIW_80,wNMPIW_80,NMPIW_80,Winkler_80,selection_target,calibration_target_hit,Series,Series ID,fold_id,train_len,calibration_len,validation_len,train_ts_start,train_ts_end,calibration_ts_start,calibration_ts_end,validation_ts_start,validation_ts_end,is_selected,calibration_adjustment
lgb_conformal,0.1,0.98,q10-q98,0.8501631635701627,0.85,6.294551451651419,6.291204194494432,0.5291823516318577,0.528900948035834,9.879331823486035,1.4277943050907411,1.2267233169731664,-0.5559851747216136,0.0,0.950589296931444,0.95,6.014548521866352,6.018861957404503,1.1748839451033564,1.1757265330621345,6.57797813900587,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,4,130,20,20,2836,2965,2966,2985,2986,3005,True,0.7979642608828241
naive_lag1,0.1,0.95,q10-q95,0.9008037628078167,0.9,10.52912471918669,10.529124719186688,0.8851825300534367,0.8851825300534365,13.7498708618138,1.752863229554188,1.4670957404872478,-1.34514783634972,0.0,0.8999992422831895,0.9,10.529124719186688,10.529124719186688,2.0567627883604938,2.0567627883604938,11.029841409788725,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,4,130,20,20,2836,2965,2966,2985,2986,3005,False,
lgb_pair,0.02,0.95,q02-q95,0.950589296931444,0.95,5.225264530455931,5.227119461424829,1.020704942928236,1.0210672857718777,5.999653269578488,5.747737464578544,2.4451469930015373,-0.0216220802352185,0.0,0.8515057739801144,0.85,5.4582253523642885,5.459763655138262,0.1849337758339124,0.18498589609681865,18.01171984170981,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,5,150,20,20,2836,2985,2986,3005,3006,3025,False,
lgb_conformal,0.02,0.95,q02-q95,0.950589296931444,0.95,5.225264530455931,5.227119461424829,1.020704942928236,1.0210672857718777,5.999653269578488,5.747737464578544,2.4451469930015373,-0.0216220802352185,0.0,0.8515057739801144,0.85,5.4582253523642885,5.459763655138262,0.1849337758339124,0.18498589609681865,18.01171984170981,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,5,150,20,20,2836,2985,2986,3005,3006,3025,True,0.0
naive_lag1,0.05,0.95,q05-q95,0.9500248772387005,0.95,5.473207183400975,5.473207183400975,1.0691381447209238,1.0691381447209238,5.80778406824001,8.425795157405124,4.166705962002025,-1.1954230423444252,0.0,0.7010788840685803,0.7,5.473207183400975,5.473207183400975,0.18544138524973106,0.18544138524973106,33.32236768157887,0.84,True,Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,5,150,20,20,2836,2985,2986,3005,3006,3025,False,
lgb_pair,0.02,0.98,q02-q98,0.5998067625188839,0.6,0.0006611991778041707,0.0006578179564678074,0.6924168246425738,0.6888759634017696,0.0011878998168958514,0.0002290432098516835,0.00020117933144802127,-0.026236310861769363,0.5114041351984815,0.44342105256086584,0.45,0.0007972415670771177,0.0007944333494971673,1.021898250026491,1.0182986978340909,0.0015640895734418674,0.84,False,Highest Total Weight,SJZP0OVU__OYJGNSQK__NQ58FVQM__25,1,70,20,20,2884,2954,2955,2975,2976,2995,False,
lgb_conformal,0.02,0.98,q02-q98,0.8499609041090604,0.85,0.0008783051718629376,0.0008749239505265744,0.919773191775813,0.9162323305350089,0.0011353169900128425,0.0002290432098516835,0.00020117933144802127,-0.026236310861769363,0.5114041351984815,0.6956887844490509,0.7,0.0010143475611358848,0.0010115393435559345,1.3001830818276094,1.2965835296352095,0.001283531124336327,0.84,True,Highest Total Weight,SJZP0OVU__OYJGNSQK__NQ58FVQM__25,1,70,20,20,2884,2954,2955,2975,2976,2995,False,0.00010855299702938352
naive_lag1,0.05,0.9,q05-q90,0.8548950189152044,0.85,0.0006771748548750406,0.0006771748548750403,0.7091467722291134,0.7091467722291132,0.001240729054579071,0.00022134917115744542,0.00016332013023644245,0.04155248751747409,0.5489792621032659,0.8984391681115486,0.9,0.0006771748548750404,0.0006771748548750404,0.8679976405342258,0.8679976405342258,0.0009137774742081417,0.84,True,Highest Total Weight,SJZP0OVU__OYJGNSQK__NQ58FVQM__25,1,70,20,20,2884,2954,2955,2975,2976,2995,True,
lgb_pair,0.05,0.98,q05-q98,0.7949729937488264,0.8,0.0006874203738433634,0.0006874344207483892,0.8811302697606817,0.8811482749779921,0.000761529935994752,0.00043004709519533905,0.0003603511760645882,-1.358293003510353,0.7515380851549168,0.24942214700750542,0.25,0.0007482734227775113,0.0007474835110277177,0.8680888296668748,0.8671724352774107,0.0025945326185529,0.84,False,Highest Total Weight,SJZP0OVU__OYJGNSQK__NQ58FVQM__25,2,90,20,20,2884,2975,2976,2995,2996,3016,False,
lgb_conformal,0.05,0.98,q05-q98,0.8447881792827661,0.85,0.0007029381675074057,0.0007029522144124313,0.9010208610750493,0.9010388662923596,0.0007611398957659842,0.00043004709519533905,0.0003603511760645882,-1.358293003510353,0.7515380851549168,0.24942214700750542,0.25,0.0007637912164415536,0.00076300130469176,0.8860913711587646,0.8851749767693005,0.002551813850959255,0.84,True,Highest Total Weight,SJZP0OVU__OYJGNSQK__NQ58FVQM__25,2,90,20,20,2884,2975,2976,2995,2996,3016,False,7.758896832021152e-06
