Series,Series ID,Train len,Val len,Train ts start,Train ts end,Val ts start,Val ts end,Crossing rate before fix,RMSE,MAE,R2,Skill,wPICP_80,PICP_80,wMPIW_80,MPIW_80,wNMPIW_80,NMPIW_80,Winkler_80,Coverage gap vs 0.80
Longest History,X9BZ68VQ__OYJGNSQK__DPPUO5X2__1,161,41,2836,2996,2997,3037,0.0,4.248937665064194,1.8009285747154076,-0.07492866349781413,0.0,0.7569623342827106,0.7560975609756098,3.3713436106844616,3.3731434884959857,0.1142267428162064,0.11428772567752792,10.77684283980776,-0.0430376657172894
Highest Total Weight,SJZP0OVU__OYJGNSQK__NQ58FVQM__25,116,30,2884,3002,3003,3032,0.13333333333333333,0.00049743562215688,0.00042716510308515653,0.10970153455081444,0.5471645373502977,0.16659222541268787,0.16666666666666666,0.00033958574586875835,0.0003384638178651137,0.18182708873035233,0.18122636592278607,0.00330168004967198,-0.6334077745873121
Most Volatile,W4S29LF4__KL66VIS3__PHHHVYZI__25,121,31,2757,2880,2881,2911,0.22580645161290322,65.55952570316968,49.96725046236356,0.722218002178066,0.9623014705028908,0.7733805674762108,0.7741935483870968,193.4257624219149,193.32016852202491,0.444914358793726,0.4446714736595338,291.97177722382037,-0.026619432523789288
Most Stable,SJZP0OVU__OYJGNSQK__NQ58FVQM__1,128,32,2884,3014,3015,3052,0.0,0.00015684622275865306,0.00013113839842905634,-0.054375345509382056,0.14188695177195257,0.3745111645997733,0.375,0.00019885321951517394,0.0001983818633800483,0.32151152721111775,0.32074942523844635,0.00076981410292695,-0.42548883540022675
